case_id,file_name,case_number,title,typology,amount,currency,initial_risk_score,final_risk_score,confidence_score,action_before_evidence,action_after_evidence,sar_filed
HHG-001,HHG-001.json,1,"Suspicious Rs. 4,850 Electronics Purchase via Unrecognized Device","Account Takeover (ATO)",4850,INR,0.84,0.96,96,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
HHG-002,HHG-002.json,2,"Synthetic Identity Bust-Out Ring Across 4 Interconnected Accounts","Synthetic Identity Ring",7200,INR,0.88,0.99,99,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-003,HHG-003.json,3,"High-Value Rs. 3,450 Hotel Reservation with IP Mismatch","Legitimate / Cleared False Positive",3450,INR,0.72,0.08,98,"Request Step-Up 3DS 2.0 Biometric Re-auth","Allow Transaction & Close Case",NO
HHG-004,HHG-004.json,4,"Rapid Mule Layering: Rs. 24,500 Incoming Transfer Dispersed in 4 Smurf Accounts","Money Mule Network & Layering",24500,INR,0.92,0.98,98,"Temporary Account Debit Freeze","Freeze Account & Clawback Associated Transfers",YES
HHG-005,HHG-005.json,5,"Darknet Dump Stolen Card Burst: 9 Rapid Micro-Authorizations in 4 Minutes","Card Bust-Out & Stolen Card Velocity",1250,INR,0.95,0.99,99,"Permanent Card Cancellation & Re-issue","Permanent Card Cancellation & Re-issue",YES
HHG-006,HHG-006.json,6,"Triangulation E-Commerce Storefront Exploiting Compromised Cards","Merchant Collusion & Triangulation",2890,INR,0.81,0.97,97,"Send SMS Cardholder Verification","Permanent Card Cancellation & Re-issue",YES
HHG-007,HHG-007.json,7,"Suspicious $6,100 International Wire to Unverified Beneficiary","Account Takeover (ATO)",6100,INR,0.87,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-008,HHG-008.json,8,"Student Laptop Purchase with New Credit Line (Uncertain Risk)","Legitimate / Cleared False Positive",1850,INR,0.68,0.05,99,"Request Step-Up 3DS 2.0 Biometric Re-auth","Allow Transaction & Close Case",NO
HHG-009,HHG-009.json,9,"Coordinated 5-Account Bust-Out at Wholesale Liquidity Vault","Synthetic Identity Ring",9500,INR,0.93,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-010,HHG-010.json,10,"Rapid In-Game Micro-Transaction Velocity Burst (22 Authorizations)","Card Bust-Out & Stolen Card Velocity",840,INR,0.91,0.97,98,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
HHG-011,HHG-011.json,11,"Layered Crypto Off-Ramp via Intermediary P2P Conduit","Money Mule Network & Layering",17800,INR,0.89,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-012,HHG-012.json,12,"Appliance Storefront Chargeback Cluster and Drop-Shipping","Merchant Collusion & Triangulation",3400,INR,0.82,0.97,98,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
HHG-013,HHG-013.json,13,"Executive Business Class Flight Booking with VPN Telemetry","Legitimate / Cleared False Positive",4200,INR,0.71,0.05,99,"Request Step-Up 3DS 2.0 Biometric Re-auth","Allow Transaction & Close Case",NO
HHG-014,HHG-014.json,14,"Session Hijack via Credential Stuffing on Dormant Savings Account","Account Takeover (ATO)",8900,INR,0.88,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-015,HHG-015.json,15,"Fabricated Credit Repair Profile with Shared Authorized Tradeline","Synthetic Identity Ring",5400,INR,0.85,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-016,HHG-016.json,16,"Stolen Debit Card PIN Probing at Multiple Foreign POS Terminals","Card Bust-Out & Stolen Card Velocity",1600,INR,0.94,0.97,98,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
HHG-017,HHG-017.json,17,"Elder Romance Scam Conduit Funneling Retirement Savings","Money Mule Network & Layering",31000,INR,0.91,0.97,98,"Hold Funds 24 Hours Pending Verification","Freeze Account & Clawback Associated Transfers",YES
HHG-018,HHG-018.json,18,"High-End Jewelry Purchase with Verified In-Branch Appointment","Legitimate / Cleared False Positive",8500,INR,0.69,0.05,99,"Request Step-Up 3DS 2.0 Biometric Re-auth","Allow Transaction & Close Case",NO
HHG-019,HHG-019.json,19,"Digital Gift Card Liquidation Burst Across 12 Cards in 10 Minutes","Card Bust-Out & Stolen Card Velocity",6200,INR,0.96,0.97,98,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
HHG-020,HHG-020.json,20,"Cross-Border Ghost Merchant Dispersing Counterfeit Luxury Goods","Merchant Collusion & Triangulation",4100,INR,0.86,0.97,98,"Hold Funds 24 Hours Pending Verification","Permanent Card Cancellation & Re-issue",YES
